Date,Time,Temperature (dht11),humidity air (dht11),humidity soil1 (capacitive soil moisture),humidity soil2 (direct metal electrode)
Thu Oct 24 2019,0:30:20,27,95,276,451
Thu Oct 24 2019,0:40:26,27,95,276,450
Thu Oct 24 2019,0:50:28,27,95,274,452
Thu Oct 24 2019,1:00:35,27,95,276,448
Thu Oct 24 2019,1:10:40,27,95,276,449
Thu Oct 24 2019,1:30:54,27,95,276,449
Thu Oct 24 2019,1:41:01,27,95,274,448
Thu Oct 24 2019,1:51:07,27,95,274,448
Thu Oct 24 2019,2:01:14,27,95,274,449
Thu Oct 24 2019,2:11:20,27,95,274,449
Thu Oct 24 2019,2:21:27,27,95,273,448
Thu Oct 24 2019,2:31:34,27,95,273,448
Thu Oct 24 2019,2:41:41,27,95,273,448
Thu Oct 24 2019,2:51:48,27,95,273,448
Thu Oct 24 2019,3:01:54,27,95,272,448
Thu Oct 24 2019,3:12:05,27,95,272,448
Thu Oct 24 2019,3:22:13,26,95,270,448
Thu Oct 24 2019,3:32:18,26,95,271,448
Thu Oct 24 2019,3:42:25,26,95,272,448
Thu Oct 24 2019,3:52:31,26,95,264,448
Thu Oct 24 2019,4:02:38,26,95,270,441
Thu Oct 24 2019,4:54:55,26,95,270,447
Thu Oct 24 2019,5:05:02,26,95,268,439
Thu Oct 24 2019,5:15:08,26,95,268,441
Thu Oct 24 2019,5:25:16,26,95,267,442
Thu Oct 24 2019,5:35:21,26,95,268,445
Thu Oct 24 2019,5:55:35,26,95,268,446
Thu Oct 24 2019,6:05:42,26,95,267,446
Thu Oct 24 2019,6:15:48,26,95,267,447
Thu Oct 24 2019,6:25:54,26,95,266,446
Thu Oct 24 2019,6:36:01,26,95,267,446
Thu Oct 24 2019,6:46:07,26,95,267,446
Thu Oct 24 2019,6:56:13,26,95,266,446
Thu Oct 24 2019,7:06:20,26,95,266,445
Thu Oct 24 2019,7:16:32,26,95,265,445
Thu Oct 24 2019,7:26:37,26,95,265,445
Thu Oct 24 2019,7:36:49,26,95,266,445
Thu Oct 24 2019,7:46:59,26,95,265,445
Thu Oct 24 2019,7:57:06,27,95,266,446
Thu Oct 24 2019,8:07:12,27,95,265,445
Thu Oct 24 2019,8:17:24,27,95,264,445
Thu Oct 24 2019,8:27:31,27,95,264,446
Thu Oct 24 2019,8:37:38,27,95,265,445
Thu Oct 24 2019,8:47:46,27,95,264,445
Thu Oct 24 2019,23:50:14,29,95,283,445
Fri Oct 25 2019,0:00:16,29,95,307,382
Fri Oct 25 2019,0:10:21,29,95,313,413
Fri Oct 25 2019,0:20:27,29,95,319,430
